Issue ID,Product,Component,Assignee,Status,Resolution,Summary,Changed
33634,Installation,code,b.osi.ooo,CLOSED,FIXED,Create and deliver scripts for userland installation,2004/9/24 16:04
5795,Math,ui,eric.savary,CLOSED,FIXED,Help file - Math Root example incorrect,2013/8/7 14:56
6495,Installation,code,mikhail.voytenko,CLOSED,FIXED,windows registry data updated/removed correctly?,2003/9/8 16:53
38515,Impress,ui,christian.guenther,CLOSED,FIXED,Text Formatting toolbar is floating initially,2005/1/31 15:25
87983,Internationalization,code,aijin.kim,RESOLVED,FIXED,[IT] Pootle Translation for OO.o 3.0,2013/8/7 15:02
48848,Impress,viewing,christian.guenther,CLOSED,FIXED,[regr] Animation effect painfully slow in 1.9,2005/7/20 12:34
1999,Infrastructure,Bugzilla,non-migrated,RESOLVED,FIXED,Poor search results on IssueZilla,2009/1/23 11:18
1396,Installation,ui,olaf-openoffice,CLOSED,FIXED,component registrations fails,2003/12/6 14:52
29292,Impress,ui,christian.guenther,CLOSED,FIXED,Binfilter: Impress crash when I save 2 times in binary format.,2004/7/16 11:05
37811,Internationalization,code,dan,CLOSED,FIXED,[PATCH] Bad transex3 merging of #defines and double quotes,2013/8/7 15:00
64132,Internationalization,helpcontent,josef.latt,CLOSED,FIXED,[DE]: Suggestion for the help of 'Bearbeitungsansicht',2013/8/7 15:02
48117,Internationalization,code,helge.delfs,CLOSED,FIXED,Thai sequence input checking should be enabled by default,2013/8/7 15:03
113457,Internationalization,ui,andre.schnabel,CLOSED,FIXED,"[De] ooo330l10n - wronmg wording in printer settings, custom page layout",2013/8/7 15:02
57294,Installation,code,olaf-openoffice,CLOSED,FIXED,Setup script should support office-path as a parameter,2005/11/11 12:47
25138,Infrastructure,Website general issues,non-migrated,CLOSED,FIXED,Please cleanup after testing,2004/7/1 8:07
29572,Installation,ui,olaf-openoffice,CLOSED,FIXED,Define Startup Behavior for OOo Final,2004/11/30 14:31
61374,Impress,save-export,wolframgarten,CLOSED,FIXED,A link error with pdf creation,2006/5/8 9:53
45668,Internationalization,ui,thorsten.martens,CLOSED,FIXED,ptBr UI: translation of "Add..." in Customize dialog does not fit into designed space,2013/8/7 15:00
41910,Installation,code,ingo.schmidt-rosbiegal,CLOSED,FIXED,define product type for SDK in scp2 and instsetoo_native,2005/3/1 9:16
1049,Infrastructure,Documentation,lsuarezpotts,CLOSED,FIXED,Describes new features,2008/11/8 10:40
34940,Installation,code,b.osi.ooo,CLOSED,FIXED,UserScript install is not working if not executed in same directory,2004/10/19 11:10
54776,Internationalization,ui,ivo.hinkelmann,CLOSED,FIXED,PT-BR - Translation mistake during installation,2013/8/7 15:02
44545,Impress,ui,christian.guenther,CLOSED,FIXED,Double click slide in Slide pane does not show in Normal view,2005/5/9 15:20
41211,Impress,ui,wolframgarten,CLOSED,FIXED,typo to correct: Dimcolor -> Dim color,2005/1/31 9:12
59061,Impress,programming,hub,CLOSED,FIXED,move up/down does not work well in Outline View when select more paragraphs,2008/7/7 14:02
52722,Installation,code,olaf-openoffice,CLOSED,FIXED,update-desktop-database not run by any deb trigger,2005/11/1 12:26
6478,Internationalization,code,oc,CLOSED,FIXED,Nicaraguan currency incorrect: Should be "C$" not "$C",2003/5/20 16:37
60251,Infrastructure,Website general issues,non-migrated,CLOSED,FIXED,OASIS MIME-TYPES haven't been adopted to webserver,2008/5/17 23:51
47538,Impress,save-export,christian.guenther,CLOSED,FIXED,crash when I load a 2.0 sxi file in 1.1.x and change itno the slide sorter.,2005/7/19 16:46
31421,Impress,ui,christian.guenther,CLOSED,FIXED,Navigator leaves black trail when moving in running presentation,2004/8/17 15:57
